OpenMP is enabled.
Number of threads = 8
app_name: lane_emden
G = 0.00043
Using algorithm: GSPH
Particle id: 2550 | n_neighbor: 27 | dens_i: 54.0478 | updated sml: 0.322245 | v_sig_max: 0.725826
Particle id: 950 | n_neighbor: 28 | dens_i: 26.0864 | updated sml: 0.41081 | v_sig_max: 0.588712
Particle id: 3150 | n_neighbor: 26 | dens_i: 42.3383 | updated sml: 0.34957 | v_sig_max: 0.659333
Particle id: 3650 | n_neighbor: 28 | dens_i: 38.6302 | updated sml: 0.360415 | v_sig_max: 0.644628
Particle id: 2600 | n_neighbor: 21 | dens_i: 21.0204 | updated sml: 0.441468 | v_sig_max: 0.51547
Particle id: 1000 | n_neighbor: 27 | dens_i: 35.6805 | updated sml: 0.370086 | v_sig_max: 0.63716
Particle id: 1050 | n_neighbor: 22 | dens_i: 13.4116 | updated sml: 0.512805 | v_sig_max: 0.464228
loop: 1, time: 0.13374, dt: 0.13374, num: 4224
Particle id: 0 | n_neighbor: 20 | dens_i: 3.77049 | updated sml: 0.782792 | v_sig_max: 0.296639
Particle id: 1600 | n_neighbor: 21 | dens_i: 16.0542 | updated sml: 0.482966 | v_sig_max: 0.496427
Particle id: 3700 | n_neighbor: 27 | dens_i: 39.6228 | updated sml: 0.35738 | v_sig_max: 0.65344
Particle id: 550 | n_neighbor: 26 | dens_i: 23.7349 | updated sml: 0.423952 | v_sig_max: 0.570504
Particle id: 2650 | n_neighbor: 27 | dens_i: 48.9443 | updated sml: 0.333077 | v_sig_max: 0.697149
Particle id: 50 | n_neighbor: 20 | dens_i: 17.8614 | updated sml: 0.466095 | v_sig_max: 0.508123
Particle id: 1100 | n_neighbor: 27 | dens_i: 29.8869 | updated sml: 0.392602 | v_sig_max: 0.60416
Particle id: 2150 | n_neighbor: 26 | dens_i: 35.1929 | updated sml: 0.371787 | v_sig_max: 0.624354
Particle id: 600 | n_neighbor: 28 | dens_i: 26.1229 | updated sml: 0.410619 | v_sig_max: 0.586941
Particle id: 3750 | n_neighbor: 24 | dens_i: 21.9482 | updated sml: 0.435157 | v_sig_max: 0.56266
Particle id: 2700 | n_neighbor: 27 | dens_i: 34.074 | updated sml: 0.375813 | v_sig_max: 0.615873
Particle id: 100 | n_neighbor: 20 | dens_i: 17.8614 | updated sml: 0.466095 | v_sig_max: 0.508123
Particle id: 1150 | n_neighbor: 24 | dens_i: 21.9482 | updated sml: 0.435157 | v_sig_max: 0.56266
Particle id: 3200 | n_neighbor: 27 | dens_i: 48.9443 | updated sml: 0.333077 | v_sig_max: 0.697149
Particle id: 3800 | n_neighbor: 26 | dens_i: 16.4726 | updated sml: 0.478841 | v_sig_max: 0.520583
Particle id: 650 | n_neighbor: 24 | dens_i: 9.75668 | updated sml: 0.57018 | v_sig_max: 0.467671
Particle id: 2200 | n_neighbor: 27 | dens_i: 50.5717 | updated sml: 0.329465 | v_sig_max: 0.700187
Particle id: 1200 | n_neighbor: 26 | dens_i: 8.20345 | updated sml: 0.604107 | v_sig_max: 0.418909
Particle id: 3250 | n_neighbor: 28 | dens_i: 32.0172 | updated sml: 0.383694 | v_sig_max: 0.614132
Particle id: 3850 | n_neighbor: 27 | dens_i: 34.074 | updated sml: 0.375813 | v_sig_max: 0.615873
Particle id: 700 | n_neighbor: 31 | dens_i: 17.5818 | updated sml: 0.468552 | v_sig_max: 0.52382
Particle id: 2250 | n_neighbor: 14 | dens_i: 14.5153 | updated sml: 0.499465 | v_sig_max: 0.416722
Particle id: 1650 | n_neighbor: 27 | dens_i: 55.2586 | updated sml: 0.319874 | v_sig_max: 0.738745
Particle id: 1250 | n_neighbor: 26 | dens_i: 39.0669 | updated sml: 0.359068 | v_sig_max: 0.66522
Particle id: 150 | n_neighbor: 31 | dens_i: 8.3349 | updated sml: 0.600914 | v_sig_max: 0.433336
Particle id: 750 | n_neighbor: 25 | dens_i: 21.8674 | updated sml: 0.435692 | v_sig_max: 0.56207
Particle id: 2750 | n_neighbor: 30 | dens_i: 6.4019 | updated sml: 0.65616 | v_sig_max: 0.423363
Particle id: 1300 | n_neighbor: 24 | dens_i: 23.6888 | updated sml: 0.424227 | v_sig_max: 0.566661
Particle id: 200 | n_neighbor: 26 | dens_i: 21.3891 | updated sml: 0.438917 | v_sig_max: 0.546912
Particle id: 3900 | n_neighbor: 26 | dens_i: 26.3227 | updated sml: 0.409577 | v_sig_max: 0.588972
Particle id: 1700 | n_neighbor: 21 | dens_i: 16.0542 | updated sml: 0.482966 | v_sig_max: 0.496427
Particle id: 3300 | n_neighbor: 26 | dens_i: 16.8596 | updated sml: 0.47515 | v_sig_max: 0.509907
Particle id: 2800 | n_neighbor: 25 | dens_i: 42.5457 | updated sml: 0.349001 | v_sig_max: 0.657716
Particle id: 2300 | n_neighbor: 27 | dens_i: 55.3179 | updated sml: 0.319761 | v_sig_max: 0.731823
Particle id: 1350 | n_neighbor: 27 | dens_i: 49.8184 | updated sml: 0.331118 | v_sig_max: 0.696341
Particle id: 3950 | n_neighbor: 26 | dens_i: 16.4726 | updated sml: 0.478841 | v_sig_max: 0.520583
Particle id: 1750 | n_neighbor: 26 | dens_i: 27.7945 | updated sml: 0.402216 | v_sig_max: 0.581429
Particle id: 2850 | n_neighbor: 27 | dens_i: 36.2856 | updated sml: 0.368017 | v_sig_max: 0.641457Particle id: 2350 | n_neighbor: 27 | dens_i: 23.099 | updated sml: 0.427807 | v_sig_max: 0.57267
Particle id: 1400 | n_neighbor: 27 | dens_i: 35.6789 | updated sml: 0.370091 | v_sig_max: 0.639501
Particle id: 250 | n_neighbor: 27 | dens_i: 2.83461 | updated sml: 0.860891 | v_sig_max: 0.350226
Particle id: 250 | n_neighbor: 27 | dens_i: 2.83461 | updated sml: 0.860891 | v_sig_max: 0.350226

article id: 2350 | n_neighbor: 27 | dens_i: 23.099 | updated sml: 0.427807 | v_sig_max: 0.57267
Particle id: 4000 | n_neighbor: 24 | dens_i: 23.6888 | updated sml: 0.424227 | v_sig_max: 0.566661
Particle id: 800 | n_neighbor: 28 | dens_i: 16.4593 | updated sml: 0.478971 | v_sig_max: 0.503203
Particle id: 3350 | n_neighbor: 24 | dens_i: 21.9482 | updated sml: 0.435157 | v_sig_max: 0.56266
Particle id: 2400 | n_neighbor: 28 | dens_i: 16.4593 | updated sml: 0.478971 | v_sig_max: 0.503203
Particle id: 300 | n_neighbor: 26 | dens_i: 26.3227 | updated sml: 0.409577 | v_sig_max: 0.588972
Particle id: 1450 | n_neighbor: 25 | dens_i: 19.327 | updated sml: 0.454002 | v_sig_max: 0.535245
Particle id: 2900 | n_neighbor: 25 | dens_i: 42.5457 | updated sml: 0.349001 | v_sig_max: 0.657716
Particle id: 850 | n_neighbor: 29 | dens_i: 27.257 | updated sml: 0.404843 | v_sig_max: 0.59749
Particle id: 3400 | n_neighbor: 26 | dens_i: 25.2152 | updated sml: 0.415488 | v_sig_max: 0.58019
Particle id: 2450 | n_neighbor: 26 | dens_i: 27.5877 | updated sml: 0.403219 | v_sig_max: 0.597328
Particle id: 1800 | n_neighbor: 18 | dens_i: 11.6875 | updated sml: 0.536874 | v_sig_max: 0.394641
Particle id: 4050 | n_neighbor: 23 | dens_i: 19.7669 | updated sml: 0.450609 | v_sig_max: 0.535712
Particle id: 900 | n_neighbor: 28 | dens_i: 16.4593 | updated sml: 0.478971 | v_sig_max: 0.503203
Particle id: 2950 | n_neighbor: 26 | dens_i: 43.4551 | updated sml: 0.34655 | v_sig_max: 0.675361
Particle id: 1500 | n_neighbor: 19 | dens_i: 19.4029 | updated sml: 0.45341 | v_sig_max: 0.521567
Particle id: 350 | n_neighbor: 19 | dens_i: 3.57864 | updated sml: 0.796538 | v_sig_max: 0.321698
Particle id: 2500 | n_neighbor: 26 | dens_i: 27.7945 | updated sml: 0.402216 | v_sig_max: 0.581429
Particle id: 3450 | n_neighbor: 27 | dens_i: 44.6152 | updated sml: 0.34352 | v_sig_max: 0.676318
Particle id: 1850 | n_neighbor: 26 | dens_i: 40.9267 | updated sml: 0.353544 | v_sig_max: 0.651885
Particle id: 4100 | n_neighbor: 30 | dens_i: 6.4019 | updated sml: 0.65616 | v_sig_max: 0.423363
Particle id: 950 | n_neighbor: 28 | dens_i: 26.1229 | updated sml: 0.410619 | v_sig_max: 0.586941
Particle id: 1550 | n_neighbor: 26 | dens_i: 33.6376 | updated sml: 0.377431 | v_sig_max: 0.630915
